,sub_category,Total Profit
0,Accessories,79411.99999999999
1,Appliances,54582.59999999999
2,Art,10412.199999999997
3,Binders,98790.79999999999
4,Bookcases,51270.79999999999
5,Chairs,153905.69999999995
6,Copiers,69264.9
7,Envelopes,6109.699999999999
8,Fasteners,458.5999999999995
9,Furnishings,39083.69999999999
10,Labels,4188.799999999997
11,Machines,91545.29999999999
12,Paper,32362.59999999999
13,Phones,139498.49999999997
14,Storage,96105.29999999999
15,Supplies,14402.499999999996
16,Tables,98522.2
