,state,Total Profit
0,Alabama,12791.399999999996
1,Arizona,15845.599999999999
2,Arkansas,4718.899999999999
3,California,195660.19999999995
4,Colorado,11615.699999999997
5,Connecticut,5099.999999999999
6,Delaware,10419.099999999999
7,District of Columbia,1498.6999999999987
8,Florida,53050.49999999999
9,Georgia,24910.899999999998
10,Idaho,1086.6
11,Illinois,30637.39999999999
12,Indiana,33112.1
13,Iowa,3158.5
14,Kansas,538.5999999999999
15,Kentucky,18370.799999999996
16,Louisiana,3581.2999999999997
17,Maine,344.1999999999998
18,Maryland,7647.0
19,Massachusetts,13691.799999999997
20,Michigan,36652.399999999994
21,Minnesota,14347.499999999998
22,Mississippi,5438.399999999999
23,Missouri,9205.9
24,Montana,2922.9
25,Nebraska,3398.1000000000004
26,Nevada,9063.1
27,New Hampshire,1873.6999999999996
28,New Jersey,19898.3
29,New Mexico,2656.8999999999996
30,New York,126992.89999999997
31,North Carolina,25600.399999999994
32,North Dakota,487.5
33,Ohio,31203.499999999996
34,Oklahoma,10228.099999999999
35,Oregon,5233.399999999999
36,Pennsylvania,54502.99999999999
37,Rhode Island,14521.399999999998
38,South Carolina,4825.5999999999985
39,South Dakota,228.79999999999978
40,Tennessee,14100.599999999997
41,Texas,75491.99999999999
42,Utah,2850.5999999999985
43,Vermont,6272.9000000000015
44,Virginia,35032.899999999994
45,Washington,55149.7
46,West Virginia,523.1999999999999
47,Wisconsin,17672.1
48,Wyoming,624.0
