index,product_id,category,sub_category,cost_price,list_price
0,FUR-BO-10001798,Furniture,Bookcases,240,260
1,FUR-CH-10000454,Furniture,Chairs,600,730
2,OFF-LA-10000240,Office Supplies,Labels,10,10
3,FUR-TA-10000577,Furniture,Tables,780,960
4,OFF-ST-10000760,Office Supplies,Storage,20,20
5,FUR-FU-10001487,Furniture,Furnishings,50,50
6,OFF-AR-10002833,Office Supplies,Art,10,10
7,TEC-PH-10002275,Technology,Phones,860,910
8,OFF-BI-10003910,Office Supplies,Binders,20,20
9,OFF-AP-10002892,Office Supplies,Appliances,90,110
10,FUR-TA-10001539,Furniture,Tables,1470,1710
11,TEC-PH-10002033,Technology,Phones,750,910
12,OFF-PA-10002365,Office Supplies,Paper,20,20
13,OFF-BI-10003656,Office Supplies,Binders,360,410
14,OFF-AP-10002311,Office Supplies,Appliances,60,70
15,OFF-BI-10000756,Office Supplies,Binders,0,0
16,OFF-ST-10004186,Office Supplies,Storage,610,670
17,OFF-ST-10000107,Office Supplies,Storage,60,60
18,OFF-AR-10003056,Office Supplies,Art,10,10
19,TEC-PH-10001949,Technology,Phones,170,210
20,OFF-BI-10002215,Office Supplies,Binders,20,20
21,OFF-AR-10000246,Office Supplies,Art,20,20
22,OFF-AP-10001492,Office Supplies,Appliances,50,60
23,FUR-CH-10002774,Furniture,Chairs,60,70
24,FUR-TA-10000577,Furniture,Tables,900,1040
25,OFF-BI-10001634,Office Supplies,Binders,10,10
26,TEC-AC-10003027,Technology,Accessories,80,90
27,FUR-BO-10004834,Furniture,Bookcases,2740,3080
28,OFF-BI-10000474,Office Supplies,Binders,10,10
29,FUR-FU-10004848,Furniture,Furnishings,100,120
30,OFF-EN-10001509,Office Supplies,Envelopes,0,0
31,OFF-AR-10004042,Office Supplies,Art,70,90
32,OFF-BI-10001525,Office Supplies,Binders,10,10
33,OFF-AR-10001683,Office Supplies,Art,20,20
34,OFF-PA-10000249,Office Supplies,Paper,30,30
35,TEC-PH-10004977,Technology,Phones,1020,1100
36,FUR-FU-10003664,Furniture,Furnishings,180,190
37,OFF-EN-10002986,Office Supplies,Envelopes,90,110
38,FUR-BO-10002545,Furniture,Bookcases,460,530
39,FUR-CH-10004218,Furniture,Chairs,200,210
40,TEC-PH-10000486,Technology,Phones,350,370
41,TEC-PH-10004093,Technology,Phones,140,150
42,OFF-ST-10003479,Office Supplies,Storage,70,80
43,OFF-ST-10003282,Office Supplies,Storage,90,100
44,TEC-AC-10000171,Technology,Accessories,40,50
45,OFF-BI-10003291,Office Supplies,Binders,20,20
46,OFF-ST-10001713,Office Supplies,Storage,180,210
47,TEC-AC-10002167,Technology,Accessories,50,50
48,TEC-PH-10003988,Technology,Phones,20,20
49,OFF-BI-10004410,Office Supplies,Binders,30,40
50,OFF-LA-10002762,Office Supplies,Labels,70,80
51,FUR-FU-10001706,Furniture,Furnishings,10,10
52,FUR-CH-10003061,Furniture,Chairs,70,90
53,OFF-FA-10000304,Office Supplies,Fasteners,20,20
54,TEC-PH-10002447,Technology,Phones,850,1030
55,OFF-ST-10000604,Office Supplies,Storage,200,210
56,OFF-PA-10001569,Office Supplies,Paper,30,30
57,FUR-CH-10003968,Furniture,Chairs,290,320
58,OFF-PA-10000587,Office Supplies,Paper,10,10
59,TEC-AC-10002167,Technology,Accessories,20,30
60,OFF-BI-10001460,Office Supplies,Binders,40,50
61,OFF-AR-10001868,Office Supplies,Art,0,0
62,TEC-AC-10004633,Technology,Accessories,10,10
63,OFF-BI-10001078,Office Supplies,Binders,20,30
64,OFF-PA-10003892,Office Supplies,Paper,130,150
65,FUR-FU-10000397,Furniture,Furnishings,70,80
66,FUR-CH-10001146,Furniture,Chairs,180,210
67,OFF-AR-10002671,Office Supplies,Art,940,1110
68,TEC-PH-10002726,Technology,Phones,160,170
69,OFF-PA-10000482,Office Supplies,Paper,70,80
70,OFF-BI-10004654,Office Supplies,Binders,0,0
71,OFF-PA-10004675,Office Supplies,Paper,20,20
72,FUR-CH-10000513,Furniture,Chairs,790,830
73,FUR-FU-10003708,Furniture,Furnishings,90,100
74,OFF-ST-10004123,Office Supplies,Storage,60,70
75,OFF-BI-10004182,Office Supplies,Binders,0,0
76,FUR-FU-10000260,Furniture,Furnishings,10,10
77,OFF-ST-10000615,Office Supplies,Storage,20,30
78,FUR-FU-10003194,Furniture,Furnishings,20,20
79,OFF-AP-10002118,Office Supplies,Appliances,190,210
80,OFF-BI-10002309,Office Supplies,Binders,20,20
81,OFF-AR-10002053,Office Supplies,Art,10,10
82,OFF-ST-10002370,Office Supplies,Storage,20,20
83,OFF-EN-10000927,Office Supplies,Envelopes,180,200
